SampleID	OTUcts	OTUctsnormed	Normrich	Normshann	Normeven	Scaledrich	Obs_richness	Shannon	Evenness	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	Parity_1	DIM	DIM_1	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Path_1.0	Path_1.1	Pathotype_1	Pathotype_2	Pattern_1.0	Pattern_1.1	Pattern_1.2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	Evnev_1.0	Evnev_1.1	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
10A	36726	8299.661017	4837	6.541182193	0.770997603	0.544764516	4837	6.541182193	0.770997603	7/14/14	10	A	LL13254	1	1	11	0	3	2	2	38.9	Sh	Sh	1	1	3	0	1	1	1	0	0	1	2	2	1	73	62.6	3	0	1	1	1	1	1	2	146
10B	46615	8334.525299	6006	6.761491682	0.777137016	1.510023659	6006	6.761491682	0.777137016	7/15/14	10	B	LL13254	1	1	12	0	3	2	2	38.4	Sh	Sh	2	1	3	0	1	1	1	0	0	1	2	2	1	51	62.6	3	0	1	1	1	1	1	2	147
10C	36550	7519.029006	5149	6.678226332	0.78139369	0.802387144	5149	6.678226332	0.78139369	7/16/14	10	C	LL13254	1	1	13	0	3	2	2	38.6	Sh	Sh	3	1	3	0	1	1	1	0	0	1	2	2	1	61	62.6	3	0	1	1	1	1	1	2	148
10D	32206	7547.691587	4590	6.620473611	0.785194493	0.340813269	4590	6.620473611	0.785194493	7/17/14	10	D	LL13254	1	1	14	0	3	2	2	38.5	Sh	Sh	4	1	1	1	0	0	0	0	0	1	2	2	1	63	62.6	3	0	1	1	1	2	4	2	149
10E	32174	7957.952016	4420	6.53873007	0.778986405	0.200441965	4420	6.53873007	0.778986405	7/18/14	10	E	LL13254	1	1	15	0	3	2	2	38.3	Sh	Sh	5	1	1	1	0	0	0	0	0	1	2	2	1	65	62.6	3	0	1	1	1	2	4	2	150
14A	38007	10507.87946	4019	5.892421382	0.710033935	-0.13066917	4019	5.892421382	0.710033935	7/14/14	14	A	LL12276	2	2	11	0	3	2	4	38.9	NS	NS	1	1	0	1	0	0	0	1	0	0	0	2	1	105	109.4	0	1	0	0	0	2	4	0	171
14B	36441	21248.3965	3367	5.113371323	0.629587719	-0.669034406	3367	5.113371323	0.629587719	7/15/14	14	B	LL12276	2	2	12	0	3	2	4	38.9	NS	NS	2	1	0	1	0	0	0	1	0	0	0	2	1	114	109.4	0	1	0	0	0	2	4	0	172
14C	36198	9930.864198	4065	5.886357853	0.708331905	-0.092686346	4065	5.886357853	0.708331905	7/16/14	14	C	LL12276	2	2	13	0	3	2	4	38.9	NS	Sh	3	1	1	1	0	0	0	1	0	0	0	2	1	100	109.4	0	1	0	0	0	2	4	0	173
14D	35952	9809.549795	3996	5.910892771	0.712752652	-0.149660581	3996	5.910892771	0.712752652	7/17/14	14	D	LL12276	2	2	14	0	3	2	4	38.9	NS	NS	4	1	0	1	0	0	0	1	0	0	0	2	1	118	109.4	0	1	0	0	0	2	4	0	174
14E	36149	8763.393939	4444	6.269295457	0.746405996	0.22025909	4444	6.269295457	0.746405996	7/18/14	14	E	LL12276	2	2	15	0	3	2	4	39.3	NS	NS	5	1	0	1	0	0	0	1	0	0	0	2	1	110	109.4	0	1	0	0	0	2	4	0	175
